"","rowname","utterance","response","response_time","speaker","responder","utterance_time","error","age","overreg","source_file","utterance_start","utterance_end","response_start","response_end"
"74","104330","you waked him up","have I",-0.011,"CHI","MOT","1.532",TRUE,40,TRUE,"Thomas/3-04-03.xml","3487.958","3489.49","3489.479","3490.152"
"75","104983","because the we all fixeded fixed it","you fixeded it",0,"CHI","MOT","2.357",TRUE,41,TRUE,"Thomas/3-05-02.xml","3257.717","3260.074","3260.074","3261.734"
"76","104985","I have fixeded fixed it","you've fixeded it",0,"CHI","MOT","1.382",TRUE,41,TRUE,"Thomas/3-05-02.xml","3263.299","3264.681","3264.681","3266.086"
"77","106554","it blowed a xxx into a great big sea","it blew what into the sea",0,"CHI","MOT","3.982",TRUE,42,TRUE,"Thomas/3-06-00.xml","3324.81","3328.792","3328.792","3330.719"
"78","106897","here we comed out of the shops","right",-0.22,"CHI","MOT","1.834",TRUE,42,TRUE,"Thomas/3-06-02.xml","1073.452","1075.286","1075.066","1075.751"
"79","107036","oh I throwed it down","well you'd better pick it up because I can't make it if some of the pieces are missing can I",0.046,"CHI","MOT","2.659",TRUE,42,TRUE,"Thomas/3-06-02.xml","2621.939","2624.598","2624.644","2628.591"
"80","108191","now tell me the story when the fire catched on","when when next door caught fire",0.151,"CHI","MOT","5.259",TRUE,43,TRUE,"Thomas/3-07-01.xml","617.554","622.813","622.964","624.74"
"81","108385","he throwed it in xxx","goodness me",-0.105,"CHI","MOT","1.858",TRUE,43,TRUE,"Thomas/3-07-01.xml","2101.112","2102.97","2102.865","2103.748"
"82","108492","xxx you cutted it","I didn't cut it",-0.011,"CHI","MOT","3.878",TRUE,43,TRUE,"Thomas/3-07-01.xml","3194.281","3198.159","3198.148","3198.961"
"83","108595","baby falled down","and look on the same page as",0,"CHI","MOT","1.904",TRUE,43,TRUE,"Thomas/3-07-02.xml","177.133","179.037","179.037","181.173"
"84","108614","now she falled down","I know",-1.114,"CHI","MOT","1.939",TRUE,43,TRUE,"Thomas/3-07-02.xml","332.246","334.185","333.071","333.442"
"85","108995","Mummy Henry felled fell into a deep blue sea","did he",0.72,"CHI","MOT","4.934",TRUE,43,TRUE,"Thomas/3-07-02.xml","3452.185","3457.119","3457.839","3458.826"
"86","109779","he flied on on my head","you're probably suffering from jet lag Thomas you don't give yourself time in a country to catch up on your sleep before you fly off again",-2.739,"CHI","MOT","2.751",TRUE,43,TRUE,"Thomas/3-07-05.xml","929.174","931.925","929.186","936.158"
"87","110543","now I've felled fell in","why did the fire man not put the fire out",-0.453,"CHI","MOT","1.3",TRUE,44,TRUE,"Thomas/3-08-03.xml","3153.402","3154.702","3154.249","3156.269"
"88","111821","not see green fishes for a while have you",NA,-1.138,"CHI","MOT","3.739",TRUE,45,TRUE,"Thomas/3-09-01.xml","2288.001","2291.74","2290.602","2291.693"
"89","112831","I runned over my toy",NA,NA,"CHI","MOT","media info not available",TRUE,45,TRUE,"Thomas/3-09-04.xml","media info not found","media info not found","media info not found","media info not found"
"90","114503","cause I eated some of that","have you",-0.093,"CHI","MOT","1.87",TRUE,46,TRUE,"Thomas/3-10-03.xml","943.036","944.906","944.813","945.753"
"91","115520","you haven't speaked through it","I haven't speaked through it",-0.023,"CHI","MOT","2.496",TRUE,47,TRUE,"Thomas/3-11-03.xml","213.36","215.856","215.833","217.458"
"92","116818","I sleeped slept","that you sleeped",-0.009,"CHI","MOT","1.498",TRUE,48,TRUE,"Thomas/4-00-07.xml","929.215","930.713","930.704","931.877"
"93","117054","what if I runned ran away","no no no",-0.031,"CHI","MOT","1.777",TRUE,48,TRUE,"Thomas/4-00-07.xml","3065.203","3066.98","3066.949","3067.982"
"94","117093","I shouldn't of builded built a wall that big","built a wall not builded",-0.024,"CHI","MOT","3.89",TRUE,48,TRUE,"Thomas/4-00-07.xml","3463.581","3467.471","3467.447","3469.513"
"95","120756","a car runned over him","a car's run over him",0.058,"CHI","MOT","2.067",TRUE,50,TRUE,"Thomas/4-02-03.xml","1463.78","1465.847","1465.905","1466.973"
"96","120769","look xxx throwed it into here","but they must have been jolly strong to pick up a police car and throw it into the dustbin truck",1.497,"CHI","MOT","2.148",TRUE,50,TRUE,"Thomas/4-02-03.xml","1565.489","1567.637","1569.134","1573.023"
"97","126462","xxx that I builded this","one you built",-0.032,"CHI","MOT","5.015",TRUE,53,TRUE,"Thomas/4-05-05.xml","1097.774","1102.789","1102.757","1103.79"
"98","126685","something standed up","oh are you throwing that so sock again are you",0.012,"CHI","MOT","1.44",TRUE,53,TRUE,"Thomas/4-05-05.xml","2783.53","2784.97","2784.982","2788.337"
"99","127270","it's all bended and squashed","bent",-0.042,"CHI","MOT","3.384",TRUE,53,TRUE,"Thomas/4-05-09.xml","2137.339","2140.723","2140.681","2142.486"
"100","127396","the hula went ranned run away","has it gone up your sleeve",-0.987,"CHI","MOT","2.241",TRUE,54,TRUE,"Thomas/4-06-01.xml","638.309","640.55","639.563","641.177"
"101","127973","I swimmed","you did swim didn't you",0.165,"CHI","MOT","1.184",TRUE,54,TRUE,"Thomas/4-06-02.xml","537.703","538.887","539.052","540.723"
"102","128615","you maded made it","well you make the next one and I'll slot it in the top",0,"CHI","MOT","1.196",TRUE,54,TRUE,"Thomas/4-06-03.xml","2264.227","2265.423","2265.423","2268.024"
"103","129131","I think I think a fish bited her","do you",0.082,"CHI","MOT","2.786",TRUE,54,TRUE,"Thomas/4-06-04.xml","2653.376","2656.162","2656.244","2657.033"
"104","129179","there's rats outside and mouses inside","there better not be mice inside",-0.069,"CHI","MOT","2.496",TRUE,54,TRUE,"Thomas/4-06-04.xml","2920.619","2923.115","2923.046","2924.578"
"105","129894","I sitted next to him","did you",-0.034,"CHI","MOT","1.753",TRUE,55,TRUE,"Thomas/4-07-06.xml","2033.445","2035.198","2035.164","2035.896"
"106","130209","don't want to because I've drawed some already","no",-0.058,"CHI","MOT","2.578",TRUE,55,TRUE,"Thomas/4-07-09.xml","1740.318","1742.896","1742.838","1743.674"
"107","130214","I'll drawed it","you draw",-0.023,"CHI","MOT","1.091",TRUE,55,TRUE,"Thomas/4-07-09.xml","1764.41","1765.501","1765.478","1766.325"
"108","130223","look at her hairs","xxx hair yes",-0.104,"CHI","MOT","1.602",TRUE,55,TRUE,"Thomas/4-07-09.xml","1833.835","1835.437","1835.333","1836.958"
"109","130588","and I've only got one two persons","what is it you've got",0.046,"CHI","MOT","2.833",TRUE,55,TRUE,"Thomas/4-07-10.xml","314.445","317.278","317.324","319.008"
"110","130589","two persons","two persons",0.58,"CHI","MOT","0.964",TRUE,55,TRUE,"Thomas/4-07-10.xml","318.996","319.96","320.54","321.249"
"111","130898","I could of not heared him","xxx",-0.036,"CHI","MOT","2.496",TRUE,55,TRUE,"Thomas/4-07-10.xml","2444.943","2447.439","2447.403","2448.204"
"112","131165","we went we drived into the car to see it","did you",0.046,"CHI","MOT","3.564",TRUE,56,TRUE,"Thomas/4-08-00.xml","206.791","210.355","210.401","211.307"
"113","131931","Thomas gived it me","precisely",0.023,"CHI","MOT","1.417",TRUE,56,TRUE,"Thomas/4-08-01.xml","2306.136","2307.553","2307.576","2308.249"
"114","132313","I will do the leafs","then if we have that one that one and that one",0.031,"CHI","MOT","1.126",TRUE,56,TRUE,"Thomas/4-08-03.xml","1235.611","1236.737","1236.768","1239.532"
"115","132708","you said I'm banneded banned from cheese","banneded from cheese",0.056,"CHI","MOT","2.717",TRUE,56,TRUE,"Thomas/4-08-03.xml","3659.141","3661.858","3661.914","3662.878"
"116","133225","I throwed it down there","where",0.568,"CHI","MOT","2.23",TRUE,56,TRUE,"Thomas/4-08-08.xml","598.964","601.194","601.762","602.366"
"117","133993","I just bited this and then it came off","no don't put it",-1.068,"CHI","MOT","2.38",TRUE,57,TRUE,"Thomas/4-09-05.xml","1471.013","1473.393","1472.325","1473.359"
"118","136499","Scoop falled in there","did he",0.023,"CHI","MOT","1.637",TRUE,58,TRUE,"Thomas/4-10-05.xml","2625.322","2626.959","2626.982","2627.574"
"119","136513","and then all of them falled in","fell",1.088,"CHI","MOT","2.45",TRUE,58,TRUE,"Thomas/4-10-05.xml","2688.638","2691.088","2692.176","2692.942"
"120","136527","and then the land falled in the water","the land fell in the water",0.558,"CHI","MOT","3.622",TRUE,58,TRUE,"Thomas/4-10-05.xml","2781.324","2784.946","2785.504","2787.408"
"121","137346","I throwed it back for them","did you",0.128,"CHI","MOT","1.556",TRUE,58,TRUE,"Thomas/4-10-10.xml","93.794","95.35","95.478","96.058"
"122","138359","your sausage machine it has already finded some","yes",-0.012,"CHI","MOT","4.192",TRUE,59,TRUE,"Thomas/4-11-01.xml","699.245","703.437","703.425","704.598"
"123","138734","xxx lady xxx mens men","well I would imagine ladies and mens are the same really it's only like a waistcoat",0.609,"CHI","MOT","3.634",TRUE,59,TRUE,"Thomas/4-11-01.xml","3496.656","3500.29","3500.899","3505.705"
"124","138923","dugged dug","the digger had dugged dug",0.035,"CHI","MOT","0.963",TRUE,59,TRUE,"Thomas/4-11-06.xml","1144.26","1145.223","1145.258","1146.976"
"125","139211","you should of catched it","do you know what these little rough bits are for there",-0.093,"CHI","MOT","1.683",TRUE,59,TRUE,"Thomas/4-11-06.xml","3401.536","3403.219","3403.126","3405.413"
"126","139346","just pretend there was a cat on the train and it tripped up and he falled on the track","a cat on the train",0.197,"CHI","MOT","5.143",TRUE,59,TRUE,"Thomas/4-11-08.xml","1800.418","1805.561","1805.758","1807.465"
"127","139354","the fence is blowed on the track","oh dear",0.963,"CHI","MOT","3.692",TRUE,59,TRUE,"Thomas/4-11-08.xml","2026.646","2030.338","2031.301","2032.961"
"128","139642","there were bluey they were very blue in the mens in the gents","Thomas said it was lego blue like lego bricks wasn't it",0.025,"CHI","MOT","5.887",FALSE,59,TRUE,"Thomas/4-11-20.xml","1849.267","1855.154","1855.179","1858.163"
