"","utterance","response","response_time","speaker","responder","utterance_time","error","age","past_tense","plural","overlap","overreg_candidate"
"22","box moneys","box moneys",-0.0930000000000746,"CHI","MOT","1.6140000000000327",TRUE,27,FALSE,TRUE,FALSE,TRUE
"23","box of moneys","box of moneys",0.160000000000082,"CHI","MOT","1.8689999999999145",TRUE,27,FALSE,TRUE,FALSE,TRUE
"24","moneys","moneys",0.231999999999971,"CHI","MOT","1.0450000000000728",TRUE,27,FALSE,TRUE,FALSE,TRUE
"25","moneys","Mummy's",1.82399999999961,"CHI","MOT","1.568000000000211",TRUE,27,FALSE,TRUE,FALSE,TRUE
"26","two moneys","two moneys",NA,"CHI","MOT","media info not available",TRUE,27,FALSE,TRUE,FALSE,TRUE
"27","some moneys","some money",-0.0119999999999436,"CHI","MOT","1.2539999999999054",TRUE,28,FALSE,TRUE,FALSE,TRUE
"28","there's moneys","moneys",-0.128000000000156,"CHI","MOT","1.13799999999992",TRUE,28,FALSE,TRUE,FALSE,TRUE
"29","big moneys","big moneys",0.106999999999971,"CHI","MOT","1.2070000000003347",TRUE,28,FALSE,TRUE,FALSE,TRUE
"30","two moneys","are you going back to play with Mummy's money",0.547000000000025,"CHI","MOT","1.1150000000002365",TRUE,28,FALSE,TRUE,FALSE,TRUE
"31","two foots","two foots",0.244999999999891,"CHI","MOT","1.6660000000001673",TRUE,28,FALSE,TRUE,FALSE,TRUE
"32","one feet","what color's feet",0.531999999999698,"CHI","MOT","1.1880000000001019",TRUE,28,FALSE,TRUE,FALSE,TRUE
"33","two peoples","two people",0.0459999999999923,"CHI","MOT","1.48599999999999",TRUE,28,FALSE,TRUE,FALSE,TRUE
"34","two moneys","two moneys",-0.104000000000042,"CHI","MOT","1.3699999999998909",TRUE,28,FALSE,TRUE,FALSE,TRUE
"35","pinks","what color",0.713000000000193,"CHI","MOT","1.393000000000029",TRUE,28,FALSE,TRUE,FALSE,TRUE
"36","pinks","pink pigs",0.186000000000149,"CHI","MOT","0.9049999999997453",TRUE,28,FALSE,TRUE,FALSE,TRUE
"37","a moneys","if you have all your toys out together you lose interest don't you",0.635999999999967,"CHI","MOT","1.4039999999999964",TRUE,28,FALSE,TRUE,FALSE,TRUE
"38","one crisps please","are you giving him crisps as well",-0.07000000000005,"CHI","MOT","1.9160000000000537",TRUE,28,FALSE,TRUE,FALSE,TRUE
"39","the money the money the moneys","the moneys the moneys",-0.0459999999998217,"CHI","MOT","2.5540000000000873",TRUE,28,FALSE,TRUE,FALSE,TRUE
"40","the two moneys","that's right",-0.254999999999882,"CHI","MOT","1.625",TRUE,28,FALSE,TRUE,FALSE,TRUE
"41","one pounds","and these are a silver color",-0.0349999999999682,"CHI","MOT","1.961999999999989",TRUE,28,FALSE,TRUE,FALSE,TRUE
"42","broke one","broke one",0.0579999999999927,"CHI","MOT","1.194999999999709",TRUE,28,TRUE,FALSE,FALSE,TRUE
"43","all done more","all done more",0.0579999999999927,"CHI","MOT","1.2300000000000182",TRUE,28,TRUE,FALSE,FALSE,TRUE
"44","toys boxes","ah",0.221000000000004,"CHI","INV","1.7530000000001564",TRUE,28,FALSE,TRUE,FALSE,TRUE
"45","a goings","they're all there now",-1.56700000000001,"CHI","INV","1.5670000000000073",TRUE,28,FALSE,TRUE,TRUE,TRUE
"46","chips MacDonald's","chips MacDonald's",0.0930000000000746,"CHI","MOT","1.5670000000000073",TRUE,29,FALSE,TRUE,FALSE,TRUE
"47","sit an hours","sit an hour",0.609000000000009,"CHI","MOT","1.6020000000000039",TRUE,29,FALSE,TRUE,FALSE,TRUE
"48","an hours","an hours",0.0370000000000061,"CHI","MOT","0.7770000000000152",TRUE,29,FALSE,TRUE,FALSE,TRUE
"49","dear oh dear an hours","sit an hour",0.803999999999974,"CHI","MOT","3.1929999999999836",TRUE,29,FALSE,TRUE,FALSE,TRUE
"50","Mummy xxx the moneys","Mummy's bringing some money",0.349999999999909,"CHI","MOT","2.4600000000000364",TRUE,29,FALSE,TRUE,FALSE,TRUE
"51","xxx the moneys","there we are",1.14699999999993,"CHI","MOT","1.5879999999999654",TRUE,29,FALSE,TRUE,FALSE,TRUE
"52","more moneys","more moneys",-0.000999999999976353,"CHI","MOT","1.0960000000000036",TRUE,29,FALSE,TRUE,FALSE,TRUE
"53","moneys","with some money",-0.0630000000001019,"CHI","MOT","1.0150000000001",TRUE,29,FALSE,TRUE,FALSE,TRUE
"54","Dimitra opened","okay",0.425999999999931,"CHI","INV","1.5989999999999327",TRUE,29,TRUE,FALSE,FALSE,TRUE
"55","Thomas pocket moneys","Thomas pocket",1.48599999999999,"CHI","MOT","2.844000000000051",TRUE,29,FALSE,TRUE,FALSE,TRUE
"56","train two moneys","are you going to have a cup of tea with Mummy like you did yesterday",0.673000000000002,"CHI","MOT","2.2169999999999845",TRUE,29,FALSE,TRUE,FALSE,TRUE
"57","twos hat","two hats from McDonalds",0.173000000000229,"CHI","MOT","1.2539999999999054",TRUE,29,FALSE,TRUE,FALSE,TRUE
"58","a ones train","we've not seen Purdie have we",8.83500000000004,"CHI","MOT","2.0670000000000073",TRUE,29,FALSE,TRUE,FALSE,TRUE
"59","a big bites","mhm",0.0640000000000782,"CHI","MOT","0.9639999999999418",TRUE,29,FALSE,TRUE,FALSE,TRUE
"60","a tree falled over","the tree's going to fall over because the train is going to hit them",0.0109999999999673,"CHI","MOT","1.8119999999998981",TRUE,29,TRUE,FALSE,FALSE,TRUE
"61","two moneys","yes",-0.035000000000025,"CHI","MOT","0.8940000000000055",TRUE,30,FALSE,TRUE,FALSE,TRUE
"62","xxx broke broken now","what's the matter",-0.0579999999999998,"CHI","MOT","1.9160000000000004",TRUE,30,TRUE,FALSE,FALSE,TRUE
"63","no baby in that ones","the baby goes in that one",0.347999999999956,"CHI","INV","1.4859999999998763",TRUE,30,FALSE,TRUE,FALSE,TRUE
"64","two moneys please driver","I don't think the digger man takes money does he",1.88700000000017,"CHI","MOT","2.8170000000000073",TRUE,30,FALSE,TRUE,FALSE,TRUE
"65","two man a ladders","two man a ladders",0.275000000000091,"CHI","MOT","2.074999999999818",TRUE,30,FALSE,TRUE,FALSE,TRUE
"66","two mans men","we can do it with the men",0.906999999999698,"CHI","MOT","0.8110000000001492",TRUE,30,FALSE,TRUE,FALSE,TRUE
"67","two moneys","two moneys please",0.290999999999997,"CHI","MOT","0.7539999999999623",TRUE,30,FALSE,TRUE,FALSE,TRUE
"68","another steps","that was very clever really wasn't it",0.162000000000035,"CHI","MOT","1.63799999999992",TRUE,30,FALSE,TRUE,FALSE,TRUE
"69","dropped ones","you've dropped ones",0.15099999999984,"CHI","MOT","1.5790000000001783",TRUE,30,FALSE,TRUE,FALSE,TRUE
"70","another traffic lights","another traffic lights",0.98700000000008,"CHI","MOT","1.7179999999998472",TRUE,30,FALSE,TRUE,FALSE,TRUE
"71","paying the moneys","you've finished your moneys",0.847999999999956,"CHI","MOT","1.462999999999738",TRUE,30,FALSE,TRUE,FALSE,TRUE
"72","two ones","two ones",0.12700000000001,"CHI","MOT","1.218999999999994",TRUE,30,FALSE,TRUE,FALSE,TRUE
"73","one cones two cones","yes",0.30199999999968,"CHI","MOT","1.9270000000001346",TRUE,30,FALSE,TRUE,FALSE,TRUE
"74","drop ones","you've dropped one",0.0349999999998545,"CHI","MOT","1.0790000000001783",TRUE,30,FALSE,TRUE,FALSE,TRUE
"75","never see big big red bus big red bus came","are you telling me you didn't see the red bus properly because you're having your nappie changed",0.835999999999899,"CHI","MOT","4.249000000000024",TRUE,30,TRUE,FALSE,FALSE,TRUE
"76","ears have come off","the ears have come off",0.115999999999985,"CHI","MOT","2.0659999999998035",TRUE,30,FALSE,TRUE,FALSE,TRUE
"77","a falled over","who fell over",0.128000000000156,"CHI","MOT","1.9389999999998508",TRUE,30,TRUE,FALSE,FALSE,TRUE
"78","yellow fishes","some fish",-0.120000000000005,"CHI","MOT","1.1999999999999886",TRUE,31,FALSE,TRUE,FALSE,TRUE
"79","some more moneys","oh",-0.120000000000005,"CHI","MOT","1.747000000000071",TRUE,31,FALSE,TRUE,FALSE,TRUE
"80","mixer has gone","you took it upstairs Thomas",-0.173999999999978,"CHI","MOT","1.6019999999998618",TRUE,31,TRUE,FALSE,FALSE,TRUE
"81","no bin mens men","yes",0.336000000000013,"CHI","INV","1.4629999999999654",TRUE,31,FALSE,TRUE,FALSE,TRUE
"82","all mended","you're mended",0.0579999999999927,"CHI","INV","1.5790000000001783",TRUE,31,TRUE,FALSE,FALSE,TRUE
"83","a traffics","is Spud a character from Bob_The_Builder Thomas",1.06799999999976,"CHI","MOT","1.8810000000003129",TRUE,31,FALSE,TRUE,FALSE,TRUE
"84","Maltesers have done","aah",-2.18199999999979,"CHI","MOT","2.1829999999999927",TRUE,31,TRUE,FALSE,TRUE,TRUE
"85","Isabel done a wee wee","Isabel done a wee wee",0.156999999999698,"CHI","MOT","3.2270000000003165",TRUE,31,TRUE,FALSE,FALSE,TRUE
"86","is lots","why don't you do the jigsaw again and then push them all out",0.186000000000149,"CHI","MOT","1.300000000000182",TRUE,31,FALSE,TRUE,FALSE,TRUE
"87","another ones","there're quite a lot of small pieces here look that'll fit into the digger quite nicely won't they",2.04299999999989,"CHI","MOT","1.5440000000000964",TRUE,31,FALSE,TRUE,FALSE,TRUE
"88","big fishes","oh are we going to find some big fishes there",0.440999999999804,"CHI","INV","1.2650000000003274",TRUE,31,FALSE,TRUE,FALSE,TRUE
"89","mine has gone","oh you'll have_to pour yourself another cup Thomas",0.731999999999971,"CHI","MOT","2.4190000000000964",TRUE,31,TRUE,FALSE,FALSE,TRUE
"90","a whistles","you talking about the digger",1.27700000000004,"CHI","MOT","0.5800000000000409",TRUE,31,FALSE,TRUE,FALSE,TRUE
"91","uh buy fishes and sausages","fishes and sausages",-0.0350000000000819,"CHI","MOT","2.54300000000012",TRUE,31,FALSE,TRUE,FALSE,TRUE
"92","two o'clocks","one o'clock two o'clock",0.0399999999999636,"CHI","MOT","1.1030000000000655",TRUE,31,FALSE,TRUE,FALSE,TRUE
"93","um a lot of mans men","pardon",0.684999999999945,"CHI","MOT","2.088999999999942",TRUE,31,FALSE,TRUE,FALSE,TRUE
"94","lot of mans men","a lot of mans",0.00399999999990541,"CHI","MOT","1.1959999999999127",TRUE,31,FALSE,TRUE,FALSE,TRUE
"95","lot of rubbishes","a lot of rubbish",0.197000000000116,"CHI","MOT","1.7179999999998472",TRUE,32,FALSE,TRUE,FALSE,TRUE
"96","kissing mistletoes","kissing mistletoes",0.104999999999905,"CHI","MOT","2.090000000000032",TRUE,32,FALSE,TRUE,FALSE,TRUE
"97","mistletoes","oh you missed your party",-0.546000000000049,"CHI","MOT","1.7770000000000437",TRUE,32,FALSE,TRUE,FALSE,TRUE
"98","bought brought another one","you've brought another one",-0.162000000000035,"CHI","MOT","1.5090000000000146",TRUE,32,TRUE,FALSE,FALSE,TRUE
"99","uh I want that a clocks now","you want the clock now",0.0399999999999636,"CHI","MOT","2.8330000000000837",TRUE,32,FALSE,TRUE,FALSE,TRUE
"100","like Aunty_Mabel done","like Aunty_Mabel does",0.0109999999999957,"CHI","MOT","2.427000000000021",TRUE,33,TRUE,FALSE,FALSE,TRUE
"101","I not see little mouses",NA,0.220000000000255,"CHI","MOT","2.1479999999996835",TRUE,33,FALSE,TRUE,FALSE,TRUE
"102","a my holded it","we'll keep it out because you might have a lot of fun playing with it mightn't you",-0.0230000000001382,"CHI","MOT","1.7760000000002947",TRUE,33,TRUE,FALSE,FALSE,TRUE
"103","I wanted it","you want it",0.012000000000171,"CHI","MOT","0.7429999999999382",TRUE,33,TRUE,FALSE,FALSE,TRUE
"104","where has Thomas gone","right we'll leave your",-2.08999999999992,"CHI","MOT","2.5079999999999245",TRUE,33,TRUE,FALSE,TRUE,TRUE
"105","got two lots of chocolates","two chocolates",-0.266999999999825,"CHI","MOT","1.961999999999989",TRUE,33,FALSE,TRUE,TRUE,TRUE
"106","where's the moneys","well that's your purse isn't it",0.0579999999999927,"CHI","MOT","1.6710000000000491",TRUE,33,FALSE,TRUE,FALSE,TRUE
"107","I fixeded fixed it","you fixeded it",0.069999999999709,"CHI","MOT","1.5210000000001855",TRUE,33,TRUE,FALSE,FALSE,TRUE
"108","lots_of fishes","do you think there are a lot of fishes",-0.0910000000003492,"CHI","MOT","2.425000000000182",TRUE,33,FALSE,TRUE,FALSE,TRUE
"109","lots_of fishes here","oh it's opening again",12.2359999999999,"CHI","INV","1.9800000000000182",TRUE,33,FALSE,TRUE,FALSE,TRUE
"110","saw some big fishes","you saw some big fishes",0.0229999999999109,"CHI","MOT","2.066000000000031",TRUE,33,FALSE,TRUE,FALSE,TRUE
"111","I have builded it","you've builded it",0.220000000000027,"CHI","MOT","1.9969999999998436",TRUE,33,TRUE,FALSE,FALSE,TRUE
"112","eated it","she eaten eat",0.0459999999998217,"CHI","MOT","0.9410000000002583",TRUE,33,TRUE,FALSE,FALSE,TRUE
"113","it's not it's not fixeded fixed","it's not fixeded",-0.0929999999998472,"CHI","MOT","2.530999999999949",TRUE,33,TRUE,FALSE,FALSE,TRUE
"114","Bob_the_Builder nearly runned","pardon",1.63699999999972,"CHI","MOT","2.3330000000000837",TRUE,33,TRUE,FALSE,FALSE,TRUE
"115","xxx big fishes","yes",NA,"CHI","MOT","media info not available",TRUE,33,FALSE,TRUE,FALSE,TRUE
"116","Bob_Builder fixeded fixed it","Bob_the_Builder fixed it",0.012000000000171,"CHI","MOT","2.031999999999698",TRUE,33,TRUE,FALSE,FALSE,TRUE
"117","it's all broke broken","it all broken",0.27800000000002,"CHI","MOT","2.310999999999922",TRUE,34,TRUE,FALSE,FALSE,TRUE
"118","it broken","it hasn't broken",0.371000000000095,"CHI","MOT","1.6489999999998872",TRUE,34,TRUE,FALSE,FALSE,TRUE
"119","I want a traffic signs","and a traffic sign",-0.128000000000043,"CHI","INV","2.356999999999971",TRUE,34,FALSE,TRUE,FALSE,TRUE
"120","good mans men","he's a good man is he",0.463999999999942,"CHI","MOT","1.8110000000001492",TRUE,34,FALSE,TRUE,FALSE,TRUE
"121","I clowned","you're a clown",0.0819999999998799,"CHI","MOT","0.6900000000000546",TRUE,34,TRUE,FALSE,FALSE,TRUE
"122","it's mornings now","no",0.081000000000131,"CHI","MOT","1.7529999999997017",TRUE,34,FALSE,TRUE,FALSE,TRUE
"123","ostrich done a poo in his nappie","no",0.163000000000011,"CHI","MOT","2.90199999999993",TRUE,34,TRUE,FALSE,FALSE,TRUE
"124","here's his wheels on his on his post vans","oh you can see the wheels on his post van",0.208999999999833,"CHI","MOT","3.785000000000082",TRUE,34,FALSE,TRUE,FALSE,TRUE
"125","an droved away","he's driving away",0.360000000000127,"CHI","MOT","1.2769999999998163",TRUE,34,TRUE,FALSE,FALSE,TRUE
"126","lady getted off it a did something","the lady got off a blue caravan to get something",0.640999999999991,"CHI","MOT","4.13300000000001",TRUE,34,TRUE,FALSE,FALSE,TRUE
"127","you have got some more","I know",-0.0650000000000546,"CHI","MOT","1.8340000000002874",TRUE,34,TRUE,FALSE,FALSE,TRUE
"128","someone droved over on path","pardon",0.626999999999953,"CHI","MOT","2.2640000000001237",TRUE,34,TRUE,FALSE,FALSE,TRUE
"129","someone droved over path","yes",-0.0470000000000255,"CHI","MOT","1.683999999999969",TRUE,34,TRUE,FALSE,FALSE,TRUE
"130","goed away","I'll just move that",7.3889999999999,"CHI","MOT","1.5090000000000146",TRUE,34,TRUE,FALSE,FALSE,TRUE
"131","I am not finished","well let's well let's just move them over there Thomas",-0.603000000000065,"CHI","MOT","1.5209999999997308",TRUE,34,TRUE,FALSE,TRUE,TRUE
"132","I need that little little toys","there",3.93400000000008,"CHI","MOT","2.19399999999996",TRUE,35,FALSE,TRUE,FALSE,TRUE
"133","I I see this ones","you saw the balloon did you",-0.0929999999998472,"CHI","MOT","2.8099999999999454",TRUE,35,FALSE,TRUE,FALSE,TRUE
"134","Fireman_Sam got in the kitchen making some sausages","Fireman_Sam is in the kitchen making some sausages",0.0700000000001637,"CHI","MOT","5.618999999999687",TRUE,35,TRUE,FALSE,FALSE,TRUE
"135","Dimitra likes post bags an post boxes","oh",1.79999999999995,"CHI","INV","3.923999999999978",TRUE,35,FALSE,TRUE,FALSE,TRUE
"136","um fishes","fish",0.672999999999774,"CHI","INV","1.4630000000001928",TRUE,35,FALSE,TRUE,FALSE,TRUE
"137","just remember runned","you've just remember to run like the dustbin man when he gets out of his cab",0.0600000000004002,"CHI","MOT","2.6349999999997635",TRUE,35,TRUE,FALSE,FALSE,TRUE
"138","droved away","what did the policeman find when he went to see the fireman",1.43999999999983,"CHI","MOT","1.9160000000001673",TRUE,35,TRUE,FALSE,FALSE,TRUE
"139","dustbin man tipper throwed it away","oh",0.208999999999833,"CHI","MOT","5.8400000000001455",TRUE,35,TRUE,FALSE,FALSE,TRUE
"140","Judy throwed it","Judy threw something away",0.232999999999947,"CHI","MOT","1.9039999999999964",TRUE,35,TRUE,FALSE,FALSE,TRUE
"141","big snake goed around","has somebody called you mischief",0.0349999999998545,"CHI","MOT","2.19399999999996",TRUE,35,TRUE,FALSE,FALSE,TRUE
"142","big wind comed up and blows two down","the big the big wind come up and blown two of them down",0.542999999999665,"CHI","MOT","4.423000000000229",TRUE,35,TRUE,FALSE,FALSE,TRUE
"143","dirty beer lorry bringed that","the beer lorry brings that",0.0239999999998872,"CHI","MOT","2.2289999999998145",TRUE,35,TRUE,FALSE,FALSE,TRUE
"144","lorry droved away","driven away Thomas",0.626999999999953,"CHI","MOT","2.286999999999807",TRUE,35,TRUE,FALSE,FALSE,TRUE
"145","this made delivery","it made a delivery",-0.0159999999999982,"CHI","MOT","1.7530000000000001",TRUE,36,TRUE,FALSE,FALSE,TRUE
"146","you hold some two ones","I'll hold these two",0.012000000000171,"CHI","MOT","1.7179999999998472",TRUE,36,FALSE,TRUE,FALSE,TRUE
"147","some silly womans women","what about Bryony and Charlotte",3.93599999999969,"CHI","MOT","2.125",TRUE,36,FALSE,TRUE,FALSE,TRUE
"148","I pushed over again","yes",0.639000000000124,"CHI","MOT","1.7989999999999782",TRUE,36,TRUE,FALSE,FALSE,TRUE
"149","and the post lorry driven away","must be my birthday",0.432999999999993,"CHI","MOT","2.8089999999997417",TRUE,36,TRUE,FALSE,FALSE,TRUE
"150","a lorry droved away","driven away",-0.012000000000171,"CHI","MOT","2.356999999999971",TRUE,36,TRUE,FALSE,FALSE,TRUE
"151","eated that","eated it",-0.0459999999998217,"CHI","MOT","0.8709999999996398",TRUE,36,TRUE,FALSE,FALSE,TRUE
"152","flied in here","flied in here did it",NA,"CHI","MOT","1.5790000000000077",TRUE,36,TRUE,FALSE,FALSE,TRUE
"153","that man put his thing in machine nearly squashed it","oh_gosh",0.336000000000013,"CHI","MOT","3.54099999999994",TRUE,36,TRUE,FALSE,FALSE,TRUE
"154","I just throwed it in the air","oh you just throwed it in the air and it hit me did it",-0.1400000000001,"CHI","INV","2.7870000000000346",TRUE,36,TRUE,FALSE,FALSE,TRUE
"155","a postman bringed it","the postman",NA,"CHI","INV","1.6140000000000327",TRUE,36,TRUE,FALSE,FALSE,TRUE
"156","a dustbin mens men arriving","no",0.209000000000003,"CHI","MOT","2.2749999999999773",TRUE,36,FALSE,TRUE,FALSE,TRUE
"157","look a crocodiles","yes",0.278999999999996,"CHI","MOT","2.3099999999999454",TRUE,36,FALSE,TRUE,FALSE,TRUE
"158","I drawed under here","I know you did",-0.093000000000302,"CHI","MOT","0.9980000000000473",TRUE,36,TRUE,FALSE,FALSE,TRUE
"159","dustbin mens men are here","who's here",0.440999999999804,"CHI","MOT","2.04300000000012",TRUE,36,FALSE,TRUE,FALSE,TRUE
"160","it runned away","you've driven away",5.32200000000012,"CHI","MOT","1.8809999999998581",TRUE,36,TRUE,FALSE,FALSE,TRUE
"161","mans men wanted to kiss the fire engine","I would have liked to have kissed the fireman",0.464000000000055,"CHI","MOT","2.6819999999999027",TRUE,36,FALSE,TRUE,FALSE,TRUE
"162","look I got anything on my hand","xxx",-2.48000000000002,"CHI","MOT","3.265999999999849",TRUE,36,TRUE,FALSE,TRUE,TRUE
"163","Son Sonia Isabelle falled on the road and and crash went the sick and all over air",NA,0.120000000000118,"CHI","INV","6.866999999999962",TRUE,36,TRUE,FALSE,FALSE,TRUE
"164","look what I have got my grass","yes",0.3599999999999,"CHI","MOT","1.7050000000001546",TRUE,36,TRUE,FALSE,FALSE,TRUE
"165","two ones","two ones",0.197999999999865,"CHI","MOT","0.7430000000003929",TRUE,36,FALSE,TRUE,FALSE,TRUE
"166","two ones","oh two books",0,"CHI","MOT","0.5",TRUE,36,FALSE,TRUE,FALSE,TRUE
"167","about a lot ones","no no",0.0579999999999927,"CHI","MOT","1.1950000000001637",TRUE,36,FALSE,TRUE,FALSE,TRUE
"168","I I eated this one","that's right",-0.0340000000001055,"CHI","MOT","2.089000000000169",TRUE,36,TRUE,FALSE,FALSE,TRUE
"169","Firefighter_Morris lied on the floor","oh right",0.19800000000032,"CHI","MOT","3.493999999999687",TRUE,36,TRUE,FALSE,FALSE,TRUE
"170","this this wheels can't work","oh has something happened to the wheel",0.545000000000073,"CHI","MOT","3.018999999999778",TRUE,36,FALSE,TRUE,FALSE,TRUE
"171","I think a mans men sleeps in there","do you think he sleeps in there",-0.0109999999999673,"CHI","MOT","3.8079999999999927",TRUE,36,FALSE,TRUE,FALSE,TRUE
"172","I call have some cough smints mints","you call them cough mints",0.395000000000437,"CHI","MOT","3.8549999999995634",TRUE,36,FALSE,TRUE,FALSE,TRUE
"173","things are not fit in bowls","these things are not",1.18900000000002,"CHI","MOT","2.5780000000000314",TRUE,37,TRUE,FALSE,FALSE,TRUE
"174","I have got these","xxx",-0.81899999999996,"CHI","MOT","3.336999999999989",TRUE,37,TRUE,FALSE,TRUE,TRUE
"175","then the train not watched out","did the train not watch out",0.0459999999998217,"CHI","MOT","2.425999999999931",TRUE,37,TRUE,FALSE,FALSE,TRUE
"176","then he leaved his passengers on the line","oh it's gonna catch it",0.300999999999931,"CHI","INV","5.212999999999738",TRUE,37,TRUE,FALSE,FALSE,TRUE
"177","es droven driven over the money","oh you're driving over the money",-0.0239999999998872,"CHI","MOT","1.719000000000051",TRUE,37,TRUE,FALSE,FALSE,TRUE
"178","then they said they selled them","and they didn't sell them",1.58999999999992,"CHI","MOT","2.925999999999931",TRUE,37,TRUE,FALSE,FALSE,TRUE
"179","then come two ones","two ones",0.163000000000011,"CHI","MOT","3.993999999999687",TRUE,37,FALSE,TRUE,FALSE,TRUE
"180","an the boy runned","and the man",0.313000000000102,"CHI","MOT","1.2309999999999945",TRUE,37,TRUE,FALSE,FALSE,TRUE
"181","I do not want my tracks off on","that's alright love",0.116,"CHI","MOT","2.497",TRUE,37,FALSE,TRUE,FALSE,TRUE
"182","I drinked it all","I know",0.255000000000109,"CHI","MOT","1.1149999999997817",TRUE,37,TRUE,FALSE,FALSE,TRUE
"183","this chairs is tickling me","the chair's tickling you",0.0349999999999682,"CHI","MOT","1.927000000000021",TRUE,37,FALSE,TRUE,FALSE,TRUE
"184","that chairs is on fire","is it",-1.35000000000002,"CHI","MOT","2.808999999999969",TRUE,37,FALSE,TRUE,FALSE,TRUE
"185","there one moneys","one two three four five",-0.150000000000091,"CHI","MOT","1.4050000000002",TRUE,37,FALSE,TRUE,FALSE,TRUE
"186","what his name called","he's called Nemo",-0.0350000000000819,"CHI","INV","1.4739999999999327",TRUE,37,TRUE,FALSE,FALSE,TRUE
"187","because it falled in the water","really",0.127999999999702,"CHI","INV","2.019999999999982",TRUE,37,TRUE,FALSE,FALSE,TRUE
"188","then a hat falled on","don't throw that don't throw that",0.813999999999851,"CHI","INV","2.3099999999999454",TRUE,37,TRUE,FALSE,FALSE,TRUE
"189","this not works","no",0.968999999999999,"CHI","MOT","1.8339999999999996",TRUE,37,FALSE,TRUE,FALSE,TRUE
"190","I'm making just painting breads","painting breads",1.11400000000003,"CHI","MOT","2.9729999999999563",TRUE,37,FALSE,TRUE,FALSE,TRUE
"191","this pieces wants a wash in my drink","no",-0.0339999999998781,"CHI","MOT","4.121000000000095",TRUE,37,FALSE,TRUE,FALSE,TRUE
"192","this train not works","no",0.545000000000073,"CHI","MOT","1.97400000000016",TRUE,37,FALSE,TRUE,FALSE,TRUE
"193","oh dustbin mens men are coming","yes",0.0930000000000035,"CHI","MOT","1.6019999999999968",TRUE,38,FALSE,TRUE,FALSE,TRUE
"194","falled on floor","you're just eating your dinner and then you fell on the floor",0.405999999999949,"CHI","MOT","0.9989999999997963",TRUE,38,TRUE,FALSE,FALSE,TRUE
"195","now it sawed it post lorry coming by","hello post lorry",1.545,"CHI","MOT","6.292",TRUE,38,TRUE,FALSE,FALSE,TRUE
