"","utterance","response","response_time","speaker","responder","utterance_time","age","past_tense","plural","manual_code"
"98","you haven't speaked through it","I haven't speaked through it",-0.023,"CHI","MOT","2.496",47,TRUE,FALSE,TRUE
"99","I sleeped slept","that you sleeped",-0.009,"CHI","MOT","1.498",48,TRUE,FALSE,TRUE
"100","what if I runned ran away","no no no",-0.031,"CHI","MOT","1.777",48,TRUE,FALSE,TRUE
"101","if I runned ran away what would happen","now if you ran away and let go it would come flying back and hit me wouldn't it",-0.054,"CHI","MOT","1.893",48,TRUE,FALSE,TRUE
"102","I shouldn't of builded built a wall that big","built a wall not builded",-0.024,"CHI","MOT","3.89",48,TRUE,FALSE,TRUE
"103","a car runned over him","a car's run over him",0.058,"CHI","MOT","2.067",50,TRUE,FALSE,TRUE
"104","look xxx throwed it into here","but they must have been jolly strong to pick up a police car and throw it into the dustbin truck",1.497,"CHI","MOT","2.148",50,TRUE,FALSE,TRUE
"105","xxx that I builded this","one you built",-0.032,"CHI","MOT","5.015",53,TRUE,FALSE,TRUE
"106","something standed up","oh are you throwing that so sock again are you",0.012,"CHI","MOT","1.44",53,TRUE,FALSE,TRUE
"107","there's one bended nose","he's crushing my nose",-0.563,"CHI","INV","2.467",53,TRUE,FALSE,TRUE
"108","it's all bended","ow",0.005,"CHI","INV","1.254",53,TRUE,FALSE,TRUE
"109","it's all bended and squashed","bent",-0.042,"CHI","MOT","3.384",53,TRUE,FALSE,TRUE
"110","the hula went ranned run away","has it gone up your sleeve",-0.987,"CHI","MOT","2.241",54,TRUE,FALSE,TRUE
"111","I swimmed","you did swim didn't you",0.165,"CHI","MOT","1.184",54,TRUE,FALSE,TRUE
"112","you maded made it","well you make the next one and I'll slot it in the top",0,"CHI","MOT","1.196",54,TRUE,FALSE,TRUE
"113","I think I think a fish bited her","do you",0.082,"CHI","MOT","2.786",54,TRUE,FALSE,TRUE
"114","there's rats outside and mouses inside","there better not be mice inside",-0.069,"CHI","MOT","2.496",54,FALSE,TRUE,TRUE
"115","I sitted next to him","did you",-0.034,"CHI","MOT","1.753",55,TRUE,FALSE,TRUE
"116","don't want to because I've drawed some already","no",-0.058,"CHI","MOT","2.578",55,TRUE,FALSE,TRUE
"117","I'll drawed it","you draw",-0.023,"CHI","MOT","1.091",55,TRUE,FALSE,TRUE
"118","look at her hairs","xxx hair yes",-0.104,"CHI","MOT","1.602",55,FALSE,TRUE,TRUE
"119","and I've only got one two persons","what is it you've got",0.046,"CHI","MOT","2.833",55,FALSE,TRUE,TRUE
"120","two persons","two persons",0.58,"CHI","MOT","0.964",55,FALSE,TRUE,TRUE
"121","I could of not heared him","xxx",-0.036,"CHI","MOT","2.496",55,TRUE,FALSE,TRUE
"122","we went we drived into the car to see it","did you",0.046,"CHI","MOT","3.564",56,TRUE,FALSE,TRUE
"123","Thomas gived it me","precisely",0.023,"CHI","MOT","1.417",56,TRUE,FALSE,TRUE
"124","I will do the leafs","then if we have that one that one and that one",0.031,"CHI","MOT","1.126",56,FALSE,TRUE,TRUE
"125","you said I'm banneded banned from cheese","banneded from cheese",0.056,"CHI","MOT","2.717",56,TRUE,FALSE,TRUE
"126","no it's not beginned yet","oh it's not begun yet",-0.337,"CHI","INV","1.974",56,TRUE,FALSE,TRUE
"127","I throwed it down there","where",0.568,"CHI","MOT","2.23",56,TRUE,FALSE,TRUE
"128","I just bited this and then it came off","no don't put it",-1.068,"CHI","MOT","2.38",57,TRUE,FALSE,TRUE
"129","Scoop falled in there","did he",0.023,"CHI","MOT","1.637",58,TRUE,FALSE,TRUE
"130","and then all of them falled in","fell",1.088,"CHI","MOT","2.45",58,TRUE,FALSE,TRUE
"131","and then the land falled in the water","the land fell in the water",0.558,"CHI","MOT","3.622",58,TRUE,FALSE,TRUE
"132","I throwed it back for them","did you",0.128,"CHI","MOT","1.556",58,TRUE,FALSE,TRUE
"133","your sausage machine it has already finded some","yes",-0.012,"CHI","MOT","4.192",59,TRUE,FALSE,TRUE
"134","dugged dug","the digger had dugged dug",0.035,"CHI","MOT","0.963",59,TRUE,FALSE,TRUE
"135","you should of catched it","do you know what these little rough bits are for there",-0.093,"CHI","MOT","1.683",59,TRUE,FALSE,TRUE
"136","I just throwed it in the bin","you've thrown my hat in the bin",-0.053,"CHI","INV","1.3",59,TRUE,FALSE,TRUE
"137","just pretend there was a cat on the train and it tripped up and he falled on the track","a cat on the train",0.197,"CHI","MOT","5.143",59,TRUE,FALSE,TRUE
"138","the fence is blowed on the track","oh dear",0.963,"CHI","MOT","3.692",59,TRUE,FALSE,TRUE
